id;payment_uid;payment_date;amount;time_stamp
1;2212773e-dc77-43dd-94d6-115136810e3e;2024-11-25;20975.12;2024-11-25T20:32:25
2;4936fe34-d2c9-4a04-836a-61a7c69cc1a7;2024-11-25;9226.14;2024-11-26T12:53:02
3;fe5d6e48-0a2a-4406-8076-9ed6b4b7fcc9;2024-11-26;4719.25;2024-11-25T23:21:15
4;06c1d660-e248-40d6-a854-9d072965b467;2024-11-25;14412;2024-11-26T11:25:38
5;20df896d-cd49-4998-b0d9-d37980427bc9;2024-11-25;12485.22;2024-11-26T07:58:25
6;8269c264-3330-48b8-93ab-822acfc33739;2024-11-26;27951.24;2024-11-25T17:14:07
7;1e6e0cfe-a5c9-4fba-aef0-12e39742c00b;2024-11-26;369.95;2024-11-26T06:04:01
8;416cc344-7c2b-4afb-af25-79992888bdba;2024-11-26;18255.05;2024-11-26T15:50:14
9;ade2e241-3752-400b-916a-ce9cf04a714b;2024-11-26;5432.64;2024-11-26T03:23:05
10;089348ea-d751-49cc-9447-d2c56208b374;2024-11-25;21065.8;2024-11-26T07:25:09
